2023:11:07 - 01:00:50 | [ WARNING    ]   ITEM [ AVAILABILITY - LOW ]
2023:11:07 - 01:00:57 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:00:57 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:00:57 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:01:00 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - 1% ]
2023:11:07 - 01:01:19 | [ WARNING    ]   ITEM [ AVAILABILITY - LOW ]
2023:11:07 - 01:01:23 | [     ADD    ] PRODUCER [ INTERVAL - 5000 ]
2023:11:07 - 01:01:23 | [     ADD    ] PRODUCER [ INTERVAL - 5000 ]
2023:11:07 - 01:01:23 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 5000 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 5000 ]
2023:11:07 - 01:01:24 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:01:24 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 10000 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 10000 ]
2023:11:07 - 01:01:24 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:01:24 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:01:24 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:01:24 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:03:38 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:03:38 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 5000 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 5000 ]
2023:11:07 - 01:03:38 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:03:38 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:03:38 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:03:38 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:03:38 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:03:39 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:03:39 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:03:39 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:04:24 | [ WARNING    ]   ITEM [ AVAILABILITY - LOW ]
2023:11:07 - 01:04:28 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:04:28 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:04:28 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:04:28 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:04:28 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:04:28 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:04:29 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:04:29 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:04:29 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:04:29 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:04:29 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:04:29 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:04:29 | [    INFO    ] PRODUCER [ AMOUNT - 8 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:04:30 | [    INFO    ] PRODUCER [ AMOUNT - 9 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:04:30 | [    INFO    ] PRODUCER [ AMOUNT - 10 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:04:30 | [    INFO    ] PRODUCER [ AMOUNT - 11 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:04:30 | [    INFO    ] PRODUCER [ AMOUNT - 12 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:04:30 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:04:30 | [    INFO    ] PRODUCER [ AMOUNT - 13 ]
2023:11:07 - 01:04:34 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -49% ]
2023:11:07 - 01:04:44 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -84% ]
2023:11:07 - 01:04:54 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -80% ]
2023:11:07 - 01:05:04 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -88% ]
2023:11:07 - 01:05:14 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -86% ]
2023:11:07 - 01:05:24 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -87% ]
2023:11:07 - 01:05:34 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -85% ]
2023:11:07 - 01:05:44 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -88% ]
2023:11:07 - 01:05:54 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -88% ]
2023:11:07 - 01:06:13 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:13 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:13 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:06:14 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:06:14 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
